,Hotel_Name,Review,Total_Review,Rating,Location
0,Oakwood Residence Midtown East,Superb ,28.00,9.10,Murray Hill 
1,Murray Hill East Suites,Good ,52.00,7.60,Murray Hill 
2,The Herald 8 by LuxUrban,Good ,2870.00,7.80,Manhattan 
3,"The Cloud One New York-Downtown, by the Motel One Group",Very good ,975.00,8.30,Wall Street - Financial District 
4,Pod Times Square,Very good ,13951.00,8.10,Hell's Kitchen 
5,West Side YMCA,Review score ,8044.00,6.60,Upper West Side 
6,Hyatt Place New York City/Times Square,Good ,16148.00,7.60,Hell's Kitchen 
7,The Tuscany Powered by LuxUrban,Good ,343.00,7.50,Murray Hill 
8,Hilton Garden Inn New York Central Park South-Midtown West,Good ,6038.00,7.10,Manhattan 
9,"Crowne Plaza Times Square Manhattan, an IHG Hotel",Good ,2028.00,7.70,Manhattan 
10,"The New Yorker, A Wyndham Hotel",Good ,9659.00,7.70,Hell's Kitchen 
11,The Manhattan at Times Square,Review score ,4435.00,5.60,Manhattan 
12,Riu Plaza Manhattan Times Square,Fabulous ,7298.00,8.60,Manhattan 
13,Hotel Edison Times Square,Good ,11455.00,7.30,Manhattan 
14,Paramount Hotel Times Square,Review score ,2802.00,6.50,Manhattan 
15,Courtyard by Marriott Times Square West,Very good ,1847.00,8.20,Hell's Kitchen 
16,Four Points by Sheraton New York Downtown,Good ,2189.00,7.20,Wall Street - Financial District 
17,Courtyard New York Downtown Manhattan/Financial District,Good ,703.00,7.30,Wall Street - Financial District 
18,DoubleTree by Hilton Hotel New York City - Chelsea,Good ,1382.00,7.30,Chelsea 
19,Fairfield Inn & Suites By Marriott New York Manhattan/Times Square,Good ,4646.00,7.70,Hell's Kitchen 
20,Home2 Suites By Hilton New York Times Square,Very good ,951.00,8.00,Manhattan 
21,Hilton Garden Inn New York/Midtown Park Avenue,Very good ,4498.00,8.10,Manhattan 
22,SpringHill Suites by Marriott New York Manhattan Chelsea,Very good ,1475.00,8.50,Chelsea 
23,CIVILIAN Hotel,Good ,6245.00,7.00,Hell's Kitchen 
24,Millennium Hotel Broadway Times Square,Superb ,28.00,9.10,Manhattan 
